site_no,station_nm,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,Latitude,Longitude,cluster_sel,cluster
103455558,103455558,1,224,235,166,277,1.02450980392157,0.746268656716418,1.26356589147287,0.707112970711297,1.20529801324503,1.69184290030211,0.00755287009063444,45.5241443164081,-68.8065957970999,1,1
103455720,103455720,1,262,276,209,313,1.05181347150259,0.815476190476191,1.20332717190388,0.781954887218045,1.14335664335664,1.43621399176955,0.00548173279301354,45.5685837175068,-69.1357265049558,2,2
103455876,103455876,1,214.5,221.5,154.5,269.5,1.00831184380181,0.747994652406417,1.24343330230084,0.723150835286676,1.23390921409214,1.68817093614894,0.00787026077458712,45.4722849711566,-68.8190812800495,1,1
103456396,103456396,1,228,228,175,262,0.992277992277992,0.766666666666667,1.15568862275449,0.768361581920904,1.15737704918033,1.51754385964912,0.00665589412126808,45.4633043416349,-68.8831273484802,1,1
103456764,103456764,2,233.25,227,154.25,256,0.984116692883026,0.677637185886732,1.0835964673913,0.696516504549241,1.11945728630417,1.59446305001311,0.00684070242886261,45.4770183069248,-69.5263170026313,1,1
103456840,103456840,6,231.75,228.5,158.5,255.25,0.986054713095966,0.685730128438801,1.13013318343825,0.707359005247125,1.13268826444906,1.63063610446368,0.00712766881193012,45.3771745752371,-68.927914559461,1,1
103457176,103457176,3,247,252,185,300,1.03333333333333,0.747863247863248,1.23423423423423,0.742857142857143,1.20087336244541,1.68852459016393,0.00683613194398354,45.3796649831754,-69.3810186811718,1,1
103457760,103457760,3,227.5,236,178.5,277,1.01823725055432,0.768139097744361,1.17295553043151,0.758683928451799,1.14824287202804,1.53122051633931,0.00666904051483049,45.2732990730136,-69.26481896682,1,1
103457908,103457908,1,236,257,184,316,1.0632183908046,0.774011299435028,1.33057851239669,0.726907630522088,1.23076923076923,1.73809523809524,0.00736481033091203,45.2816494829196,-69.5100279064831,1,1
103458374,103458374,1,247.5,245,179,282,1.00838384311156,0.770614443716734,1.2003365574976,0.766281449380041,1.15300917801161,1.56510869565217,0.00632367149758454,45.2589125266481,-69.7269587136321,1,1
103458452,103458452,1,235.5,253.5,187,309,1.06425806451613,0.789858793324775,1.32495236799129,0.747367849777488,1.22931638913234,1.64634646027771,0.00699085545765484,45.2049796994067,-69.5233472413297,1,1
103458592,103458592,1,224,241,183,301,1.08208955223881,0.818681318681319,1.40875912408759,0.757961783439491,1.29391891891892,1.69186046511628,0.00755294850498339,45.1424720208395,-69.3773339773346,1,1
103458874,103458874,2,229.75,242.5,171.5,312.5,1.03170296183321,0.755940449478221,1.37547042434572,0.732977433494079,1.32761385769342,1.83061212937805,0.00797096231693093,45.1032274724681,-69.669797497228,5,5
106401136,106401136,3,199,204,146,272,1.02796345811052,0.740331491712707,1.36601307189542,0.733009708737864,1.344,1.85443037974684,0.00931874562686852,44.3929268610956,-69.1788935758872,5,5
106401482,106401482,2,213.5,211,155.5,275.25,1.01566594499725,0.751813349163811,1.34453543239546,0.739909362680653,1.31596725082828,1.83468790850963,0.00863800063064936,44.3547361469398,-69.4353245865347,5,5
106401662,106401662,2,216.25,232.5,161.5,285.75,1.07157150189068,0.745836770422216,1.30868242704861,0.697801574519917,1.21422543515652,1.75529753285238,0.00811638079387351,44.2915172417546,-69.3709931356366,5,5
106401716,106401716,2,241.5,236.25,155.5,258.25,0.996276911211079,0.658112272302481,1.13238413430092,0.675851657105534,1.12124315519512,1.70186028957037,0.00704745702995003,44.2365588212709,-69.2169869330032,1,1
106401792,106401792,1,213,217,161,276,1.02707581227437,0.796954314720812,1.31578947368421,0.747422680412371,1.25806451612903,1.71428571428571,0.00804828973843058,44.2562925729829,-69.266320197508,1,1
106401846,106401846,3,198,213,153,295,1.05555555555556,0.78343949044586,1.54166666666667,0.744565217391304,1.4390243902439,1.95010845986985,0.00984903262560529,44.290508741733,-69.5131284680822,5,5
106402130,106402130,2,211,220.5,155.5,261,1.03805402782271,0.730456512901452,1.33840579710145,0.703814596450178,1.25911676145868,1.85118062866597,0.00877248900962213,44.1961080860646,-69.2450279899778,5,5
106402252,106402252,2,217.75,228.25,170.75,268.25,1.03072535538704,0.782308108853857,1.31098909642462,0.749824657291921,1.2417825783772,1.68635302987598,0.00776031622330139,44.1896892100981,-69.2749396398443,1,1
106402380,106402380,2,237.25,265.25,196.5,305.25,1.08914455973463,0.825391448392738,1.31924797400377,0.74825122780965,1.19128535624776,1.58376705493123,0.00667698404108563,44.2154984869955,-69.5542376638775,1,1
106402762,106402762,2,204.25,216.25,158.5,292.5,1.05570396392292,0.804646464646465,1.46013410753763,0.748231381797372,1.38056849028465,1.84163124156545,0.00901801895631028,44.1863716389144,-69.5212046432735,5,5
106402954,106402954,1,234,247,184,272,1.03418803418803,0.789667896678967,1.22388059701493,0.769736842105263,1.16847826086957,1.56488549618321,0.00668754485548379,44.1005138776808,-69.2763085838678,1,1
106403550,106403550,3,230,246,169,283.5,1.05680863222293,0.778145421457523,1.27044775540294,0.728970258136925,1.17027207850134,1.59054415700268,0.00714669429415602,44.1316086756935,-69.4867335625799,1,1
106403680,106403680,2,231.5,238.5,180.5,280,1.03479662698413,0.787805856397914,1.25285920373593,0.758025540500264,1.2048347107438,1.62324193997094,0.00701477115754112,44.0655188526134,-69.4538521514118,1,1
106403894,106403894,1,219,219,159,277,0.994212733637144,0.734415393654524,1.2372495665575,0.741361048589964,1.23599483204134,1.71497678018576,0.00783094420176145,44.0143194543177,-69.4696507464441,1,1
106404394,106404394,2,236.75,247.75,183.25,262.5,1.05435681454634,0.775308237864303,1.1950426808554,0.731052221987849,1.1330886987352,1.56175480409203,0.00659989832087655,43.9484206293993,-69.7718819271951,1,1
106451693,106451693,2,271.5,277,210,337,1.01573282944463,0.770391588107324,1.26674937965261,0.755571099407505,1.20737591911765,1.61120902959021,0.00593323284066598,44.687478726649,-70.4436075985378,1,1
106451797,106451797,2,254.75,257.75,197.75,315.5,1.021762214342,0.770235088985089,1.20879053123371,0.759439712874317,1.1820932249775,1.56863585936602,0.00615894421695723,44.6596962975355,-70.6748498905179,1,1
106451903,106451903,3,230,231,163,294,1.02139037433155,0.724832214765101,1.3265306122449,0.716577540106952,1.29182879377432,1.85714285714286,0.00807453416149068,44.5245847924326,-69.9928816640555,5,5
106452057,106452057,4,237.5,244.5,162,279.5,1.01716624768503,0.686742424242424,1.17820069204152,0.675723001759748,1.131747173279,1.73393426539122,0.00730393349485677,44.491581499169,-70.0283326322056,1,1
106452553,106452553,3,227.5,231,160.5,291.5,1.04589823225837,0.721759259259259,1.3196470345397,0.695527792866196,1.28604963112005,1.89907945736434,0.00834760201039271,44.4423426189699,-70.0224142903324,5,5
106452681,106452681,2,221.5,231,158.25,296.5,1.04031378767451,0.71517467948718,1.41454039413922,0.684172401490304,1.31349151360761,1.96816314553991,0.0089038722431037,44.391253955017,-70.0276158317113,5,5
106452727,106452727,2,241,250.5,176.5,338.5,1.02550648334252,0.721538461538462,1.36334240980259,0.69320250355335,1.32402707275804,1.98430713184812,0.00824390221706323,44.4645727240883,-70.3972552430872,5,5
106452811,106452811,2,256.75,264.25,200,353,1.02394337656322,0.766518759032894,1.32870361414764,0.752330517029051,1.29582744543884,1.75803270803271,0.00685705012536132,44.4235333875429,-70.3230290469515,1,1
106453289,106453289,5,243,260,187,267,1.04878048780488,0.765331664580726,1.10643687767781,0.713745501574449,1.03494623655914,1.44622222222222,0.00587836756548179,44.3219242977482,-70.0823954422427,2,2
106453571,106453571,3,260.5,261,177.5,320.5,1,0.695945945945946,1.27380952380952,0.697206125157823,1.24468085106383,1.81151832460733,0.00702138885506717,44.3890266340409,-70.6823344916361,1,1
106454579,106454579,3,326,460.5,315.5,326.5,1.33210928903795,0.946107301331182,1.0462979616307,0.688764220040517,0.772006426368843,1.09745871481133,0.00336880510793554,44.1475514483266,-70.1049284689594,3,3
106454775,106454775,2,245,252,182,329.5,1.04141401851949,0.753017127982906,1.35584017876298,0.71767152663283,1.29895693886658,1.84774143900024,0.00754216850514185,44.2306995624867,-70.5856879354037,5,5
106454929,106454929,4,266.75,283.75,188.75,274.75,1.0492041139535,0.701857228489161,1.04193910922203,0.68020388743049,1.00193340570938,1.48281568909649,0.00555042122961154,44.1429935038665,-70.2534882512478,2,2
106455251,106455251,2,244.75,256.25,192.5,295.5,1.05159971829981,0.794596441943393,1.26746072698085,0.745819039451115,1.17442401173549,1.60499968525746,0.00655862473641022,44.1081567768864,-70.2790912947214,1,1
106456127,106456127,2,236.25,240.75,191.5,306,1.03404605263158,0.785276890569136,1.2899385367637,0.750752032520325,1.23556393620564,1.65680391589834,0.00701435628937659,44.049347922643,-70.4332468772401,1,1
106456205,106456205,7,250,247,186,299.5,0.994708994708995,0.722181593159316,1.20519480519481,0.720313793362932,1.18613138686131,1.66707157331423,0.00665713028169014,44.06646609308,-70.4900663353992,1,1
106456225,106456225,2,228,235.5,170,303.5,1.0453581871345,0.743338127484469,1.3226668332223,0.717950310559006,1.25672809711862,1.78734923245614,0.00783858596508104,44.029571809471,-70.3803619387462,5,5
106570771,106570771,1,272,275,223,340,1,0.785522788203753,1.22888283378747,0.801261829652997,1.25087108013937,1.57865168539326,0.00580386649041639,45.3755804466105,-70.2814836024366,1,1
