station_nm,site_no,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,Latitude,Longitude,cluster
152243869,1166,408,245,244,171.5,271.5,0.992248062015504,0.705605730986442,1.13581978844169,0.720068259385666,1.1521154855643,1.59976303317536,0.00651894484340369,45.3596480785465,-67.9198678798137,5
152243780,1176,469,242,253,185,312,1.01736111111111,0.75,1.34630350194553,0.726775956284153,1.29347826086957,1.78947368421053,0.00738943832804628,45.4056972151255,-67.7958558204163,4
152243780,1178,484,235,244,171,289.5,1.00246378658511,0.744961334303344,1.30940108001964,0.729262013729977,1.26736111111111,1.76936630731697,0.00730758688019956,45.4069323861173,-67.7970241048924,4
145082108,1193,485,236,225,168,235,0.955801104972376,0.728070175438597,1.01630434782609,0.754901960784314,1.05700712589074,1.41968911917098,0.00612052730696798,45.5079265658768,-67.8354035876594,6
152243477,1247,329,250,267,166,274,1.04449152542373,0.673024523160763,1.10046728971963,0.661224489795918,1.03896103896104,1.62162162162162,0.00622394102362681,45.7473401605373,-67.8555275107136,5
152243475,1250,347,251,251,170,284,1.03015075376884,0.694158075601375,1.17826086956522,0.676363636363636,1.14917127071823,1.74825174825175,0.00696634367295453,45.7701930534362,-67.8508454546074,5
152243469,1265,332,222,229.5,167.5,288.5,1.0157310520362,0.750838926174497,1.2838914756447,0.743848805420183,1.2477207453914,1.66257655843611,0.00723860645930883,45.8241615534861,-67.7604282625467,5
152243469,1267,339,218,223,163,277,1.01418439716312,0.766081871345029,1.33482142857143,0.748571428571429,1.2751677852349,1.7093023255814,0.00778670433477532,45.8305469861946,-67.7407903815074,4
152243494,1232,340,245,247.5,176,271,0.994110310421286,0.699164918343001,1.10629624279776,0.702921909119268,1.08353263180272,1.52361111111111,0.006121363652074,45.6624879265913,-67.7453252872787,6
152243494,1237,333,234,246,169,252,1.00297619047619,0.705555555555556,1.0672,0.708,1.03835616438356,1.47826086956522,0.0059721300597213,45.677983302752,-67.8035566879357,6
152243494,1242,341,245,246,167,230,0.975778546712803,0.677884615384615,0.959128065395095,0.712609970674487,0.98,1.37777777777778,0.00538124156545209,45.6981027667052,-67.8094025694167,6
152243494,1243,329,254,247,171,252,0.982954545454545,0.6875,1.01666666666667,0.707509881422925,1.03703703703704,1.45077720207254,0.00563524590163935,45.7156983794621,-67.8271899235189,6
152243494,1249,331,250,252,177,277,1.01045296167247,0.724867724867725,1.09090909090909,0.722033898305085,1.08490566037736,1.48936170212766,0.00606932799399324,45.7692254285076,-67.8081629393239,6
152243494,1257,347,219,227,157,279,1.02758620689655,0.720848056537102,1.30278884462151,0.700440528634361,1.23595505617978,1.74626865671642,0.00782896717856067,45.7962520399926,-67.8043771625295,4
152243494,1259,327,224,233,164,266,1.0316742081448,0.723849372384937,1.18110236220472,0.715025906735751,1.15350877192982,1.63013698630137,0.00721863948408571,45.807885834641,-67.7960564799637,5
D03CB32B-7849-4D33-A753-CF6A27EF9301,1208,311,233,251,185,254,1.02487562189055,0.787190082644628,1.10619469026549,0.756708407871199,1.05352112676056,1.38695652173913,0.00592271578187071,45.58612136195,-67.5185487850036,6
D03CB32B-7849-4D33-A753-CF6A27EF9301,1217,324,232.5,250.5,190,271,1.04450054450054,0.805093891646881,1.21416819712274,0.768543956043956,1.128546260859,1.49185971685972,0.00609203510502572,45.6012109599148,-67.4502710296732,6
D03CB32B-7849-4D33-A753-CF6A27EF9301,1219,353,234,248,183,257,1.03630363036304,0.766990291262136,1.12087912087912,0.739030023094688,1.07491856677524,1.41798941798942,0.00604272867861848,45.6080779755372,-67.6170503272742,6
D03CB32B-7849-4D33-A753-CF6A27EF9301,1223,332,253,259.5,192.5,285.5,1.02075935054151,0.770867192941723,1.14936730727705,0.747120349529988,1.10452200155763,1.50287063236165,0.00579890917712064,45.6294772014926,-67.6541990981505,6
D03CB32B-7849-4D33-A753-CF6A27EF9301,1228,315,222,232,179,242,1.03900709219858,0.807692307692308,1.16605166051661,0.780487804878049,1.07281553398058,1.39473684210526,0.00598425196850394,45.6449681185523,-67.4770211768929,6
D03CB32B-7849-4D33-A753-CF6A27EF9301,1233,334,230.5,248.5,178,283.5,1.01617262423714,0.774735729386892,1.22329929028908,0.741539892855682,1.17430607651913,1.55722772277228,0.0066608958970717,45.6664788220341,-67.7029058589573,5
152243533,1201,311,226,242,179,315,1.05044510385757,0.805309734513274,1.50862068965517,0.745379876796715,1.33802816901408,1.83870967741935,0.00795205549025583,45.5483661533305,-67.5534858417574,4
D03CB32B-7849-4D33-A753-CF6A27EF9301,1212,336,238.5,251.5,182.5,263.5,1.03570594603774,0.775848073143638,1.18436329588015,0.7406927752452,1.11311920963358,1.4749062858205,0.0062202387989487,45.5964887718992,-67.5657751242606,6
D03CB32B-7849-4D33-A753-CF6A27EF9301,1218,325,234,239,180,251,1.01282051282051,0.768456375838926,1.13385826771654,0.758620689655172,1.09980430528376,1.42148760330579,0.00616396137250873,45.6051572643472,-67.4632247182335,6
145061926,1304,229,221,232,158,289,1.03504043126685,0.758893280632411,1.29457364341085,0.710900473933649,1.23353293413174,1.79020979020979,0.00766897221211018,46.090048831101,-68.0209155687859,4
145061926,1305,210,211,255.5,192,409.5,1.11798245614035,0.887911781127862,1.89786042927404,0.799567480132217,1.62970356698934,2.13274385703649,0.00940517317742936,46.0979994082792,-68.0579974531463,3
145081732,1258,190,222,223.5,171,300,1.01937148217636,0.778342490842491,1.3315621828842,0.773239339277075,1.29784946236559,1.66608391608392,0.00778525523499085,45.8003945448712,-68.1577787574193,4
145081386,1291,182,222.5,251,196,309,1.09478748020948,0.839349540554229,1.35467720685112,0.784443659310141,1.26815426421405,1.57054924242424,0.0073075540310536,45.9569892556661,-68.1501492355168,5
145081313,1295,175,263,270,180,308,1.03157894736842,0.680933852140078,1.17613636363636,0.657534246575342,1.14932126696833,1.73313782991202,0.00640891675374434,46.0054195522076,-68.1417259936269,5
151717768,666,335,264,249,160,240,0.950381679389313,0.598039215686275,0.901785714285714,0.64,0.936274509803922,1.52272727272727,0.0053591672678553,44.3696295444584,-68.2498904078803,6
150098186,1043,326,222.5,212.5,155,241.5,0.961290805630428,0.702512615643398,1.08995815899582,0.74178817749504,1.134335839599,1.54106768493561,0.00674163838558494,45.0584402614873,-68.1375567341419,5
150098145,1062,344,250,253,173,273,0.97025361528124,0.685445418068626,1.07683080808081,0.706165225850265,1.05734356317258,1.59279336734694,0.00618668648058296,45.1126272574888,-68.189955630621,6
150098086,1076,349,235,231,158,259,1,0.693181818181818,1.14646464646465,0.693227091633466,1.13109756097561,1.65533980582524,0.00709945074208251,45.1469043672866,-68.0939957759508,5
152244116,1082,508,241,253,187.5,308,1.05084059938391,0.778747711709269,1.25539680074546,0.744007830404889,1.19155844155844,1.58944054500413,0.00658147157367237,45.1583018295792,-67.8946828770639,5
152243956,1143,519,238,250,184,295,1.04918032786885,0.777310924369748,1.25847457627119,0.731707317073171,1.19373219373219,1.57936507936508,0.00638250638250638,45.3210322634237,-68.0502207809091,5
152243956,1146,495,237,251,178,285,1.05098039215686,0.768361581920904,1.22134387351779,0.725400457665904,1.15957446808511,1.5959595959596,0.00666357929402079,45.3237969060768,-68.0541982990488,5
152244096,1111,490,233,239,172.5,270,1.0042448455447,0.75,1.10526315789474,0.742736588306209,1.08889376646181,1.48631750634288,0.00603887421937215,45.2339995290625,-68.0131834875592,6
150098186,1051,350,222,215.5,153.5,239.5,0.979387681532599,0.711648363962349,1.09451089845827,0.73817136487636,1.1220455343743,1.55457117331745,0.00678743989898666,45.0903272931205,-68.1431930378735,5
150098186,1069,338,235,237,177,282,0.987365677199702,0.719132184797753,1.2413629478218,0.730458214996534,1.22443752511049,1.65947399011915,0.00681772343503871,45.1287246122917,-68.1847786142979,5
151717370,810,335,241,234,167,253,0.971929824561404,0.705263157894737,1.07281553398058,0.725274725274725,1.08609271523179,1.53333333333333,0.00574534161490683,44.6274547673686,-68.4534082390606,6
151717370,815,318,251.5,252,182.5,272.5,0.986524500907441,0.736002704197652,1.09321597528401,0.729472785596026,1.13055072463768,1.59032634032634,0.006186822555109,44.6334522582855,-68.4787225557411,5
{AF8981CC-D81F-4D0B-869C-1E32FD584230},825,350,287,328.5,292.5,267.5,1.10715564707462,0.980898108046501,0.950973420561929,0.882170146362462,0.861066722736193,1.00718691108446,0.00322928447600417,44.6553018534474,-68.4113009478129,2
151716807,849,326,281.5,307.5,201,301,1.06318605111948,0.713770639834881,1.08992893898554,0.655178254977588,1.0013698630137,1.53328248932276,0.0053738369208628,44.6969141844781,-67.8928323501267,6
151716032,887,167,244,243,182,233,0.983333333333333,0.75875486381323,0.994845360824742,0.764587525150906,1,1.3010752688172,0.00549662902048353,44.7639612279177,-67.3511675087604,6
151716032,893,170,235.5,238.5,181.5,229,0.978791348600509,0.743994533947066,0.984911018553578,0.776237089563743,1.0096879366558,1.31921787709497,0.00523078018247293,44.7815791361799,-67.3692625408353,6
151716036,895,192,243,242.5,192,271,0.991277890466531,0.776354799023859,1.14357385917459,0.792990511172329,1.14047838895484,1.41614700470251,0.00579592160846628,44.7844374199552,-67.442993776754,6
