station_nm,Latitude,Longitude,site_no,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,cluster
26181826,41.58360996,-74.5561384,12,206,276.5,300.5,223,383.5,1.068866713,0.816595423,1.355137255,0.770312937,1.268092236,1.600845411,0.005997582,4
26181826,41.5850012,-74.55310175,13,204,298,309,249,406.5,1.048178808,0.798595875,1.407555578,0.764590481,1.302139513,1.700220264,0.005837147,4
37098607,41.54880222,-74.10370017,10,374,306.5,401,326,381.5,1.258115776,1.004032324,1.29598868,0.789374761,0.984083873,1.247260391,0.003906401,3
37098607,41.54888248,-74.10360653,11,381,306,401,325,381,1.254019293,1,1.293577982,0.788235294,0.988732394,1.253768844,0.00392605,3
42149447,42.75220211,-77.71869785,47,373,334,391,262,353,1.173228346,0.752969121,1.060728745,0.651074589,0.907936508,1.427135678,0.004063164,2
42149499,42.75246074,-77.50831747,48,215,330,379,259,349,1.102222222,0.745967742,1.08310992,0.665898618,0.952681388,1.431472081,0.004207785,2
42149499,42.75666122,-77.50998517,49,227,334,393,261,342,1.137096774,0.763157895,1.059006211,0.65625,0.910485934,1.375634518,0.004046084,2
43492303,42.81529839,-75.00610183,59,371,369,428,269,347,1.168350168,0.733333333,0.971982759,0.625368732,0.865353038,1.342657343,0.003716493,2
43492303,42.81866056,-75.00875945,61,375,365,410,271,359,1.153409091,0.738898757,1.01,0.634545455,0.882867133,1.387755102,0.00380286,2
46466535,42.37143948,-76.73452074,29,539,343,489,338,395,1.385281385,0.955,1.186721992,0.684705882,0.861842105,1.227848101,0.003470882,3
47721625,43.48059627,-74.42170096,182,347,261,264,202,288,0.99463807,0.745762712,1.126482213,0.763779528,1.109947644,1.483333333,0.005251142,4
47721625,43.48777097,-74.42916104,186,322,262.5,264,193,285,1.014938796,0.767652099,1.150135127,0.748243303,1.132591327,1.449550898,0.005541146,4
47721785,43.4872002,-74.36379954,185,328,268,264.5,207.5,306.5,1.011596138,0.763278294,1.146146915,0.755261221,1.13983836,1.478466839,0.00537371,4
47722841,43.39849976,-74.51210032,149,367,253,261,188,337,1.050847458,0.75198939,1.380368098,0.715328467,1.281030445,1.823333333,0.006667609,5
47727981,43.1105979,-74.41330002,95,317,263,274,209,317,1.065957447,0.79009434,1.273076923,0.732793522,1.184,1.591362126,0.00611391,4
47728523,43.09582936,-74.25833288,89,222,250,303.5,220,370.5,1.169392097,0.876682634,1.498200082,0.743778202,1.263574661,1.736711778,0.006413094,4
47728523,43.09609245,-74.26448644,90,212,263.5,303,220,362,1.164226226,0.852867374,1.438004488,0.736190745,1.19254386,1.631906808,0.00583895,2
47728523,43.10773962,-74.18209117,94,203,246,266,185,263,1.04359673,0.746606335,1.01119403,0.70531401,0.955801105,1.373271889,0.005266636,1
48524764,42.44474264,-77.10070658,35,417,348,450,304,397,1.272401434,0.905084746,1.176616915,0.685499058,0.906605923,1.316384181,0.003820513,3
48524856,42.40580131,-77.07779572,32,396,346.5,429.5,306,403,1.214593883,0.847541381,1.1213302,0.703404683,0.941609245,1.320209387,0.003698496,2
48524856,42.41306073,-77.08000297,33,386,333.5,409,280.5,383.5,1.216951069,0.870105219,1.192590949,0.710786598,0.979886186,1.359059233,0.003955826,3
50521223,43.2006004,-73.42340188,111,391,292,384,240,361,1.245856354,0.791549296,1.25210084,0.620985011,1,1.557894737,0.005062657,2
50522921,42.98959574,-73.74436797,77,236,287.5,330.5,230,335,1.135834468,0.788269815,1.154905866,0.684101697,1.02819741,1.501020408,0.005219349,2
50522921,43.01670261,-73.74150077,81,233,290,327,216,298,1.115384615,0.763779528,1.045289855,0.691176471,0.934782609,1.355828221,0.004555031,2
50522921,43.02026989,-73.74082745,82,225,290,327,219,310,1.095238095,0.753456221,1.037900875,0.684848485,0.956923077,1.356481481,0.004461222,2
50524095,42.86025059,-73.57314295,63,372,314,371,235.5,339,1.156405824,0.740895403,1.086874487,0.639647623,0.927529892,1.479794407,0.004599969,2
52853317,42.14226844,-73.59204954,21,384,317.5,389,250,374,1.166518699,0.780305969,1.16058944,0.653378092,0.974633851,1.45215826,0.004513362,2
52853317,42.14400303,-73.59549642,22,384,315,382,251,361,1.196835436,0.788939325,1.186201334,0.65327957,0.967903859,1.479603539,0.004524999,2
52855683,41.96480067,-74.18520362,17,218,354.5,408,272,387.5,1.127583084,0.735042387,1.020605075,0.664324535,0.876997852,1.442378858,0.003794583,2
53541253,43.30480959,-74.76599261,126,326,292,287,205.5,347,0.979215287,0.707089453,1.231405818,0.717479104,1.221185304,1.719840765,0.005689187,1
53542293,43.16540025,-74.52929907,106,344,268,279,202.5,323,1.018544948,0.745724437,1.269428008,0.736842105,1.247952254,1.703852837,0.005852875,4
53542311,43.12699848,-74.47899595,99,338,279,310.5,233.5,367,1.078508393,0.787063692,1.325257077,0.744623034,1.194045412,1.62439332,0.005516722,4
